Indicator,Unit,Subgroup,Area,Area ID,Time Period,Source,Data Value,Footnotes
Primary school net attendance ratio,Percent,Female,Matabeleland South,AFRZWE006,1999,ZIMSTAT_ZDHS_1999,81.1,
Primary school net attendance ratio,Percent,Total ,Matabeleland South,AFRZWE006,1999,ZIMSTAT_ZDHS_1999,82,
Primary school net attendance ratio,Percent,Male,Matabeleland South,AFRZWE006,1999,ZIMSTAT_ZDHS_1999,82.8,
Primary school net attendance ratio,Percent,Male,Midlands,AFRZWE007,1999,ZIMSTAT_ZDHS_1999,80.5,
Primary school net attendance ratio,Percent,Total ,Midlands,AFRZWE007,1999,ZIMSTAT_ZDHS_1999,81.8,
Primary school net attendance ratio,Percent,Female,Midlands,AFRZWE007,1999,ZIMSTAT_ZDHS_1999,83,
Primary school net attendance ratio,Percent,Female,Masvingo,AFRZWE008,1999,ZIMSTAT_ZDHS_1999,81.2,
Primary school net attendance ratio,Percent,Total ,Masvingo,AFRZWE008,1999,ZIMSTAT_ZDHS_1999,82.1,
Primary school net attendance ratio,Percent,Male,Masvingo,AFRZWE008,1999,ZIMSTAT_ZDHS_1999,83,
Primary school net attendance ratio,Percent,Male,Harare,AFRZWE009,1999,ZIMSTAT_ZDHS_1999,81.2,
Primary school net attendance ratio,Percent,Total ,Harare,AFRZWE009,1999,ZIMSTAT_ZDHS_1999,85,
Primary school net attendance ratio,Percent,Female,Harare,AFRZWE009,1999,ZIMSTAT_ZDHS_1999,88.8,
Primary school net attendance ratio,Percent,Total ,Bulawayo,AFRZWE010,1999,ZIMSTAT_ZDHS_1999,85.1,
Primary school net attendance ratio,Percent,Male,Bulawayo,AFRZWE010,1999,ZIMSTAT_ZDHS_1999,85.5,
Primary school net attendance ratio,Percent,Female,Bulawayo,AFRZWE010,1999,ZIMSTAT_ZDHS_1999,86.6,
Primary school net attendance ratio,Percent,Urban,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,93.7,
Primary school net attendance ratio,Percent,Male,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,91.3,
Primary school net attendance ratio,Percent,Total ,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,91.4,
Primary school net attendance ratio,Percent,Female,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,91.6,
Primary school net attendance ratio,Percent,Rural,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,90.7,
Primary school net attendance ratio,Percent,Male,Manicaland,AFRZWE001,2005-2006,ZIMSTAT_ZDHS_2005-06,87.8,
Primary school net attendance ratio,Percent,Total ,Manicaland,AFRZWE001,2005-2006,ZIMSTAT_ZDHS_2005-06,90.4,
Primary school net attendance ratio,Percent,Female,Manicaland,AFRZWE001,2005-2006,ZIMSTAT_ZDHS_2005-06,92.9,
Primary school net attendance ratio,Percent,Female,Mashonaland Central,AFRZWE002,2005-2006,ZIMSTAT_ZDHS_2005-06,84.5,
Primary school net attendance ratio,Percent,Total ,Mashonaland Central,AFRZWE002,2005-2006,ZIMSTAT_ZDHS_2005-06,86.5,
Primary school net attendance ratio,Percent,Male,Mashonaland Central,AFRZWE002,2005-2006,ZIMSTAT_ZDHS_2005-06,88.3,
Primary school net attendance ratio,Percent,Male,Mashonaland East,AFRZWE003,2005-2006,ZIMSTAT_ZDHS_2005-06,93.4,
Polio 3 immunisation coverage,Percent,< 1 yr,Zimbabwe,AFRZWE,1993,MoH&CW_National Health Profile_1997,71.1,
Polio 3 immunisation coverage,Percent,Mother no education,Zimbabwe,AFRZWE,1994,ZIMSTAT_ZDHS _1994,76.4,
Polio 3 immunisation coverage,Percent,Mother primary,Zimbabwe,AFRZWE,1994,ZIMSTAT_ZDHS _1994,82.9,
Polio 3 immunisation coverage,Percent,Rural,Zimbabwe,AFRZWE,1994,ZIMSTAT_ZDHS _1994,83.5,
Polio 3 immunisation coverage,Percent,Male,Zimbabwe,AFRZWE,1994,ZIMSTAT_ZDHS _1994,84.1,
Polio 3 immunisation coverage,Percent,12-23 months,Zimbabwe,AFRZWE,1994,ZIMSTAT_ZDHS _1994,85.4,
Polio 3 immunisation coverage,Percent,Female,Zimbabwe,AFRZWE,1994,ZIMSTAT_ZDHS _1994,86.6,
Polio 3 immunisation coverage,Percent,Urban,Zimbabwe,AFRZWE,1994,ZIMSTAT_ZDHS _1994,89.6,
Net Intake Rate in Secondary Schools,Percent,Female,U_M_P,AFRZWE003009,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,20.49,
Net Intake Rate in Secondary Schools,Percent,Male,U_M_P,AFRZWE003009,2004,MoES&C_EMIS_2004,13.38,
Net Intake Rate in Secondary Schools,Percent,Total ,U_M_P,AFRZWE003009,2004,MoES&C_EMIS_2004,16.87,
Net Intake Rate in Secondary Schools,Percent,Female,U_M_P,AFRZWE003009,2004,MoES&C_EMIS_2004,20.49,
Net Intake Rate in Secondary Schools,Percent,Male,Mashonaland West,AFRZWE004,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,17.02,
Net Intake Rate in Secondary Schools,Percent,Male,Mutare,AFRZWE001005,2006,MoPSE_emis_2006,18.2,
Net Intake Rate in Secondary Schools,Percent,Total ,Mutare,AFRZWE001005,2006,MoPSE_emis_2006,20.8,
Net Intake Rate in Secondary Schools,Percent,Female,Mutare,AFRZWE001005,2006,MoPSE_emis_2006,23.4,
Net Intake Rate in Secondary Schools,Percent,Male,Mutasa,AFRZWE001006,2006,MoPSE_emis_2006,18,
Net Intake Rate in Secondary Schools,Percent,Total ,Mutasa,AFRZWE001006,2006,MoPSE_emis_2006,23.2,
Net Intake Rate in Secondary Schools,Percent,Female,Mutasa,AFRZWE001006,2006,MoPSE_emis_2006,28.5,
Net Intake Rate in Secondary Schools,Percent,Male,Nyanga,AFRZWE001007,2006,MoPSE_emis_2006,17.9,
Net Intake Rate in Secondary Schools,Percent,Total ,Nyanga,AFRZWE001007,2006,MoPSE_emis_2006,18.2,
Net Intake Rate in Secondary Schools,Percent,Female,Nyanga,AFRZWE001007,2006,MoPSE_emis_2006,18.5,
Net Intake Rate in Secondary Schools,Percent,Male,Mashonaland Central,AFRZWE002,2006,MoPSE_emis_2006,10.44,
Net Intake Rate in Secondary Schools,Percent,Total ,Mashonaland Central,AFRZWE002,2006,MoPSE_emis_2006,12.75,
Net Intake Rate in Secondary Schools,Percent,Female,Mashonaland Central,AFRZWE002,2006,MoPSE_emis_2006,14.38,
Net Intake Rate in Secondary Schools,Percent,Male,Bindura,AFRZWE002001,2006,MoPSE_emis_2006,10.6,
Net Intake Rate in Secondary Schools,Percent,Total ,Bindura,AFRZWE002001,2006,MoPSE_emis_2006,13.5,
Net Intake Rate in Secondary Schools,Percent,Female,Bindura,AFRZWE002001,2006,MoPSE_emis_2006,16.4,
Net Intake Rate in Secondary Schools,Percent,Male,Muzarabani,AFRZWE002002,2006,MoPSE_emis_2006,4.4,
Net Intake Rate in Secondary Schools,Percent,Total ,Muzarabani,AFRZWE002002,2006,MoPSE_emis_2006,5.4,
Net Intake Rate in Secondary Schools,Percent,Female,Muzarabani,AFRZWE002002,2006,MoPSE_emis_2006,6.3,
Net Intake Rate in Secondary Schools,Percent,Total ,Guruve,AFRZWE002003,2006,MoPSE_emis_2006,10.1,
Net Intake Rate in Secondary Schools,Percent,Female,Guruve,AFRZWE002003,2006,MoPSE_emis_2006,11.7,
Net Intake Rate in Secondary Schools,Percent,Male,Guruve,AFRZWE002003,2006,MoPSE_emis_2006,8.6,
Net Intake Rate in Secondary Schools,Percent,Male,Mazowe,AFRZWE002004,2006,MoPSE_emis_2006,14.3,
Net Intake Rate in Secondary Schools,Percent,Total ,Mazowe,AFRZWE002004,2006,MoPSE_emis_2006,16.6,
Net Intake Rate in Secondary Schools,Percent,Female,Mazowe,AFRZWE002004,2006,MoPSE_emis_2006,18.8,
Net Intake Rate in Secondary Schools,Percent,Total ,Mount_Darwin,AFRZWE002005,2006,MoPSE_emis_2006,10.2,
Net Intake Rate in Secondary Schools,Percent,Female,Mount_Darwin,AFRZWE002005,2006,MoPSE_emis_2006,11.6,
Net Intake Rate in Secondary Schools,Percent,Male,Mount_Darwin,AFRZWE002005,2006,MoPSE_emis_2006,8.9,
Net Intake Rate in Secondary Schools,Percent,Total ,Rushinga,AFRZWE002006,2006,MoPSE_emis_2006,12.7,
Net Intake Rate in Secondary Schools,Percent,Female,Rushinga,AFRZWE002006,2006,MoPSE_emis_2006,15.7,
Net Intake Rate in Secondary Schools,Percent,Male,Rushinga,AFRZWE002006,2006,MoPSE_emis_2006,9.9,
Net Intake Rate in Secondary Schools,Percent,Male,Shamva,AFRZWE002007,2006,MoPSE_emis_2006,16.3,
Net Intake Rate in Secondary Schools,Percent,Total ,Shamva,AFRZWE002007,2006,MoPSE_emis_2006,19.2,
Net Intake Rate in Secondary Schools,Percent,Female,Shamva,AFRZWE002007,2006,MoPSE_emis_2006,21.9,
Net Intake Rate in Secondary Schools,Percent,Male,Mashonaland East,AFRZWE003,2006,MoPSE_emis_2006,23.51,
Net Intake Rate in Secondary Schools,Percent,Total ,Mashonaland East,AFRZWE003,2006,MoPSE_emis_2006,26.72,
Net Intake Rate in Secondary Schools,Percent,Female,Mashonaland East,AFRZWE003,2006,MoPSE_emis_2006,30.03,
Net Intake Rate in Secondary Schools,Percent,Male,Chikomba,AFRZWE003001,2006,MoPSE_emis_2006,23.7,
Net Intake Rate in Secondary Schools,Percent,Total ,Chikomba,AFRZWE003001,2006,MoPSE_emis_2006,26.9,
Net Intake Rate in Secondary Schools,Percent,Female,Chikomba,AFRZWE003001,2006,MoPSE_emis_2006,30.1,
Net Intake Rate in Secondary Schools,Percent,Male,Goromonzi,AFRZWE003002,2006,MoPSE_emis_2006,31.7,
Net Intake Rate in Secondary Schools,Percent,Total ,Goromonzi,AFRZWE003002,2006,MoPSE_emis_2006,34.5,
Net Intake Rate in Secondary Schools,Percent,Female,Goromonzi,AFRZWE003002,2006,MoPSE_emis_2006,37.3,
Net Intake Rate in Secondary Schools,Percent,Male,Hwedza,AFRZWE003003,2006,MoPSE_emis_2006,23.5,
Net Intake Rate in Secondary Schools,Percent,Total ,Hwedza,AFRZWE003003,2006,MoPSE_emis_2006,27.4,
Net Intake Rate in Secondary Schools,Percent,Female,Hwedza,AFRZWE003003,2006,MoPSE_emis_2006,31.7,
Net Intake Rate in Secondary Schools,Percent,Total ,Hwange,AFRZWE005003,2004,MoES&C_EMIS_2004,24.78,
Net Intake Rate in Secondary Schools,Percent,Female,Hwange,AFRZWE005003,2004,MoES&C_EMIS_2004,28.54,
Net Intake Rate in Secondary Schools,Percent,Male,Lupane,AFRZWE005004,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,12.99,
Net Intake Rate in Secondary Schools,Percent,Total ,Lupane,AFRZWE005004,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,14.62,
Net Intake Rate in Secondary Schools,Percent,Female,Lupane,AFRZWE005004,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,16.34,
Net Intake Rate in Secondary Schools,Percent,Male,Lupane,AFRZWE005004,2004,MoES&C_EMIS_2004,12.99,
Net Intake Rate in Secondary Schools,Percent,Total ,Lupane,AFRZWE005004,2004,MoES&C_EMIS_2004,14.62,
Net Intake Rate in Secondary Schools,Percent,Female,Lupane,AFRZWE005004,2004,MoES&C_EMIS_2004,16.34,
Net Intake Rate in Secondary Schools,Percent,Total ,Nkayi,AFRZWE005005,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,10.62,
Net Intake Rate in Secondary Schools,Percent,Female,Nkayi,AFRZWE005005,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,14.31,
Net Intake Rate in Secondary Schools,Percent,Male,Nkayi,AFRZWE005005,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,7.16,
Net Intake Rate in Secondary Schools,Percent,Total ,Nkayi,AFRZWE005005,2004,MoES&C_EMIS_2004,10.62,
Net Intake Rate in Secondary Schools,Percent,Female,Nkayi,AFRZWE005005,2004,MoES&C_EMIS_2004,14.31,
Net Intake Rate in Secondary Schools,Percent,Male,Nkayi,AFRZWE005005,2004,MoES&C_EMIS_2004,7.16,
Net Intake Rate in Secondary Schools,Percent,Total ,Tsholotsho,AFRZWE005006,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,10.11,
Net Intake Rate in Secondary Schools,Percent,Female,Tsholotsho,AFRZWE005006,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,12.56,
Net Intake Rate in Secondary Schools,Percent,Male,Tsholotsho,AFRZWE005006,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,7.77,
Polio 3 immunisation coverage,Percent,Mother secondary,Zimbabwe,AFRZWE,1994,ZIMSTAT_ZDHS _1994,91.9,
Polio 3 immunisation coverage,Percent,< 1 yr,Zimbabwe,AFRZWE,1994,MoH&CW_National Health Profile_2002,82.1,
Polio 3 immunisation coverage,Percent,< 1 yr,Zimbabwe,AFRZWE,1994,MoH&CW_National Health Profile_1997,82.1,
Polio 3 immunisation coverage,Percent,< 1 yr,Zimbabwe,AFRZWE,1995,MoH&CW_National Health Profile_1997,85.9,
Polio 3 immunisation coverage,Percent,< 1 yr,Manicaland,AFRZWE001,1995,MoH&CW_National Health Profile_1997,77.8,
Polio 3 immunisation coverage,Percent,< 1 yr,Mashonaland Central,AFRZWE002,1995,MoH&CW_National Health Profile_1997,82.9,
Net Intake Rate in Secondary Schools,Percent,Male,Makonde,AFRZWE004005,2004,MoES&C_EMIS_2004,20.34,
Net Intake Rate in Secondary Schools,Percent,Total ,Makonde,AFRZWE004005,2004,MoES&C_EMIS_2004,22.38,
Net Intake Rate in Secondary Schools,Percent,Female,Makonde,AFRZWE004005,2004,MoES&C_EMIS_2004,24.41,
Net Intake Rate in Secondary Schools,Percent,Female,Zvimba,AFRZWE004006,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,13.56,
Net Intake Rate in Secondary Schools,Percent,Total ,Zvimba,AFRZWE004006,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,14.57,
Net Intake Rate in Secondary Schools,Percent,Male,Zvimba,AFRZWE004006,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,15.58,
Net Intake Rate in Secondary Schools,Percent,Female,Zvimba,AFRZWE004006,2004,MoES&C_EMIS_2004,13.56,
Net Intake Rate in Secondary Schools,Percent,Total ,Zvimba,AFRZWE004006,2004,MoES&C_EMIS_2004,14.57,
Net Intake Rate in Secondary Schools,Percent,Male,Zvimba,AFRZWE004006,2004,MoES&C_EMIS_2004,15.58,
Net Intake Rate in Secondary Schools,Percent,Male,Matabeleland North,AFRZWE005,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,21.34,
Net Intake Rate in Secondary Schools,Percent,Total ,Matabeleland North,AFRZWE005,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,23.63,
Net Intake Rate in Secondary Schools,Percent,Female,Matabeleland North,AFRZWE005,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,25.88,
Net Intake Rate in Secondary Schools,Percent,Male,Matabeleland North,AFRZWE005,2004,MoES&C_EMIS_2004,21.34,
Net Intake Rate in Secondary Schools,Percent,Total ,Matabeleland North,AFRZWE005,2004,MoES&C_EMIS_2004,23.63,
Net Intake Rate in Secondary Schools,Percent,Female,Matabeleland North,AFRZWE005,2004,MoES&C_EMIS_2004,25.88,
Net Intake Rate in Secondary Schools,Percent,Male,Binga,AFRZWE005001,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,1.83,
Net Intake Rate in Secondary Schools,Percent,Total ,Binga,AFRZWE005001,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,2.65,
Net Intake Rate in Secondary Schools,Percent,Female,Binga,AFRZWE005001,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,3.48,
Net Intake Rate in Secondary Schools,Percent,Male,Binga,AFRZWE005001,2004,MoES&C_EMIS_2004,1.83,
Net Intake Rate in Secondary Schools,Percent,Total ,Binga,AFRZWE005001,2004,MoES&C_EMIS_2004,2.65,
Net Intake Rate in Secondary Schools,Percent,Female,Binga,AFRZWE005001,2004,MoES&C_EMIS_2004,3.48,
Net Intake Rate in Secondary Schools,Percent,Male,Bubi,AFRZWE005002,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,12.3,
Net Intake Rate in Secondary Schools,Percent,Total ,Bubi,AFRZWE005002,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,13.59,
Net Intake Rate in Secondary Schools,Percent,Female,Bubi,AFRZWE005002,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,14.97,
Net Intake Rate in Secondary Schools,Percent,Male,Bubi,AFRZWE005002,2004,MoES&C_EMIS_2004,12.3,
Net Intake Rate in Secondary Schools,Percent,Total ,Bubi,AFRZWE005002,2004,MoES&C_EMIS_2004,13.59,
Net Intake Rate in Secondary Schools,Percent,Female,Bubi,AFRZWE005002,2004,MoES&C_EMIS_2004,14.97,
Net Intake Rate in Secondary Schools,Percent,Male,Hwange,AFRZWE005003,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,20.98,
Net Intake Rate in Secondary Schools,Percent,Total ,Hwange,AFRZWE005003,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,24.78,
Net Intake Rate in Secondary Schools,Percent,Female,Hwange,AFRZWE005003,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,28.54,
Net Intake Rate in Secondary Schools,Percent,Male,Hwange,AFRZWE005003,2004,MoES&C_EMIS_2004,20.98,
Net Intake Rate in Secondary Schools,Percent,Female,Kariba_Rural,AFRZWE004004,2004,MoES&C_EMIS_2004,16.25,
Net Intake Rate in Secondary Schools,Percent,Male,Makonde,AFRZWE004005,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,20.34,
Net Intake Rate in Secondary Schools,Percent,Total ,Makonde,AFRZWE004005,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,22.38,
Net Intake Rate in Secondary Schools,Percent,Female,Makonde,AFRZWE004005,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,24.41,
Net Intake Rate in Secondary Schools,Percent,Male,Gwanda,AFRZWE006004,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,19.43,
Net Intake Rate in Secondary Schools,Percent,Total ,Gwanda,AFRZWE006004,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,23.48,
Net Intake Rate in Secondary Schools,Percent,Female,Gwanda,AFRZWE006004,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,27.7,
Net Intake Rate in Secondary Schools,Percent,Male,Gwanda,AFRZWE006004,2004,MoES&C_EMIS_2004,19.43,
Net Intake Rate in Secondary Schools,Percent,Total ,Gwanda,AFRZWE006004,2004,MoES&C_EMIS_2004,23.48,
Net Intake Rate in Secondary Schools,Percent,Female,Gwanda,AFRZWE006004,2004,MoES&C_EMIS_2004,27.7,
Net Intake Rate in Secondary Schools,Percent,Male,Insiza,AFRZWE006005,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,21.16,
Net Intake Rate in Secondary Schools,Percent,Total ,Insiza,AFRZWE006005,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,27.15,
Net Intake Rate in Secondary Schools,Percent,Female,Insiza,AFRZWE006005,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,33.35,
Net Intake Rate in Secondary Schools,Percent,Male,Insiza,AFRZWE006005,2004,MoES&C_EMIS_2004,21.16,
Net Intake Rate in Secondary Schools,Percent,Total ,Insiza,AFRZWE006005,2004,MoES&C_EMIS_2004,27.15,
Net Intake Rate in Secondary Schools,Percent,Female,Insiza,AFRZWE006005,2004,MoES&C_EMIS_2004,33.35,
Net Intake Rate in Secondary Schools,Percent,Male,Matobo,AFRZWE006006,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,28.39,
Net Intake Rate in Secondary Schools,Percent,Total ,Mutoko,AFRZWE003007,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,27.66,
Net Intake Rate in Secondary Schools,Percent,Female,Mutoko,AFRZWE003007,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,30.81,
Net Intake Rate in Secondary Schools,Percent,Male,Mutoko,AFRZWE003007,2004,MoES&C_EMIS_2004,24.61,
Net Intake Rate in Secondary Schools,Percent,Total ,Mutoko,AFRZWE003007,2004,MoES&C_EMIS_2004,27.66,
Net Intake Rate in Secondary Schools,Percent,Female,Mutoko,AFRZWE003007,2004,MoES&C_EMIS_2004,30.81,
Net Intake Rate in Secondary Schools,Percent,Male,Seke,AFRZWE003008,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,25.13,
Net Intake Rate in Secondary Schools,Percent,Total ,Seke,AFRZWE003008,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,27.41,
Net Intake Rate in Secondary Schools,Percent,Female,Seke,AFRZWE003008,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,29.79,
Net Intake Rate in Secondary Schools,Percent,Male,Seke,AFRZWE003008,2004,MoES&C_EMIS_2004,25.13,
Net Intake Rate in Secondary Schools,Percent,Total ,Seke,AFRZWE003008,2004,MoES&C_EMIS_2004,27.41,
Net Intake Rate in Secondary Schools,Percent,Female,Seke,AFRZWE003008,2004,MoES&C_EMIS_2004,29.79,
Net Intake Rate in Secondary Schools,Percent,Male,U_M_P,AFRZWE003009,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,13.38,
Net Intake Rate in Secondary Schools,Percent,Total ,U_M_P,AFRZWE003009,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,16.87,
Net Intake Rate in Secondary Schools,Percent,Total ,Tsholotsho,AFRZWE005006,2004,MoES&C_EMIS_2004,10.11,
Net Intake Rate in Secondary Schools,Percent,Female,Tsholotsho,AFRZWE005006,2004,MoES&C_EMIS_2004,12.56,
Net Intake Rate in Secondary Schools,Percent,Male,Tsholotsho,AFRZWE005006,2004,MoES&C_EMIS_2004,7.77,
Net Intake Rate in Secondary Schools,Percent,Male,Umguza,AFRZWE005007,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,22.52,
Net Intake Rate in Secondary Schools,Percent,Total ,Umguza,AFRZWE005007,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,29.32,
Net Intake Rate in Secondary Schools,Percent,Female,Umguza,AFRZWE005007,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,36.14,
Net Intake Rate in Secondary Schools,Percent,Male,Umguza,AFRZWE005007,2004,MoES&C_EMIS_2004,22.52,
Net Intake Rate in Secondary Schools,Percent,Total ,Umguza,AFRZWE005007,2004,MoES&C_EMIS_2004,29.32,
Net Intake Rate in Secondary Schools,Percent,Female,Umguza,AFRZWE005007,2004,MoES&C_EMIS_2004,36.14,
Net Intake Rate in Secondary Schools,Percent,Male,Matabeleland South,AFRZWE006,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,18.79,
Net Intake Rate in Secondary Schools,Percent,Total ,Matabeleland South,AFRZWE006,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,22.81,
Net Intake Rate in Secondary Schools,Percent,Female,Matabeleland South,AFRZWE006,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,26.97,
Net Intake Rate in Secondary Schools,Percent,Male,Matabeleland South,AFRZWE006,2004,MoES&C_EMIS_2004,18.79,
Net Intake Rate in Secondary Schools,Percent,Total ,Matabeleland South,AFRZWE006,2004,MoES&C_EMIS_2004,22.81,
Net Intake Rate in Secondary Schools,Percent,Female,Matabeleland South,AFRZWE006,2004,MoES&C_EMIS_2004,26.97,
Net Intake Rate in Secondary Schools,Percent,Total ,Beitbridge,AFRZWE006001,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,10.02,
Net Intake Rate in Secondary Schools,Percent,Female,Beitbridge,AFRZWE006001,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,13.37,
Net Intake Rate in Secondary Schools,Percent,Male,Beitbridge,AFRZWE006001,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,6.81,
Net Intake Rate in Secondary Schools,Percent,Total ,Beitbridge,AFRZWE006001,2004,MoES&C_EMIS_2004,10.02,
Net Intake Rate in Secondary Schools,Percent,Female,Beitbridge,AFRZWE006001,2004,MoES&C_EMIS_2004,13.37,
Net Intake Rate in Secondary Schools,Percent,Male,Beitbridge,AFRZWE006001,2004,MoES&C_EMIS_2004,6.81,
Net Intake Rate in Secondary Schools,Percent,Male,Bulilima,AFRZWE006002,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,16.92,
Net Intake Rate in Secondary Schools,Percent,Total ,Bulilima,AFRZWE006002,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,18.12,
Net Intake Rate in Secondary Schools,Percent,Female,Bulilima,AFRZWE006002,2004,ZIMSTAT_ Poverty In Zimbabwe _1995/96,19.36,
Net Intake Rate in Secondary Schools,Percent,Male,Bulilima,AFRZWE006002,2004,MoES&C_EMIS_2004,16.92,
Net Intake Rate in Secondary Schools,Percent,Total ,Bulilima,AFRZWE006002,2004,MoES&C_EMIS_2004,18.12,
Net Intake Rate in Secondary Schools,Percent,Female,Bulilima,AFRZWE006002,2004,MoES&C_EMIS_2004,19.36,
Net Intake Rate in Secondary Schools,Percent,Male,Zimbabwe,AFRZWE,2001,MoPSE_emis_2006,20.14,
Net Intake Rate in Secondary Schools,Percent,Total ,Zimbabwe,AFRZWE,2001,MoPSE_emis_2006,22.06,
Net Intake Rate in Secondary Schools,Percent,Female,Zimbabwe,AFRZWE,2001,MoPSE_emis_2006,23.96,
Net Intake Rate in Secondary Schools,Percent,Male,Zimbabwe,AFRZWE,2002,MoES&C_EMIS_2004,21.54,
Net Intake Rate in Secondary Schools,Percent,Total ,Zimbabwe,AFRZWE,2002,MoES&C_EMIS_2004,24.45,
Net Intake Rate in Secondary Schools,Percent,Female,Zimbabwe,AFRZWE,2002,MoES&C_EMIS_2004,27.34,
Net Intake Rate in Secondary Schools,Percent,Male,Zimbabwe,AFRZWE,2002,MoPSE_emis_2006,19.59,
Net Intake Rate in Secondary Schools,Percent,Total ,Zimbabwe,AFRZWE,2002,MoPSE_emis_2006,21.77,
Net Intake Rate in Secondary Schools,Percent,Female,Zimbabwe,AFRZWE,2002,MoPSE_emis_2006,23.92,
Net Intake Rate in Secondary Schools,Percent,Male,Zimbabwe,AFRZWE,2003,MoES&C_EMIS_2004,22.32,
Net Intake Rate in Secondary Schools,Percent,Total ,Zimbabwe,AFRZWE,2003,MoES&C_EMIS_2004,25.28,
Net Intake Rate in Secondary Schools,Percent,Female,Zimbabwe,AFRZWE,2003,MoES&C_EMIS_2004,28.23,
Net Intake Rate in Secondary Schools,Percent,Male,Zimbabwe,AFRZWE,2003,MoPSE_emis_2006,20.93,
Net Intake Rate in Secondary Schools,Percent,Total ,Zimbabwe,AFRZWE,2003,MoPSE_emis_2006,23.19,
Net Intake Rate in Secondary Schools,Percent,Female,Zimbabwe,AFRZWE,2003,MoPSE_emis_2006,25.42,
Net Intake Rate in Secondary Schools,Percent,Male,Zimbabwe,AFRZWE,2004,MoES&C_EMIS_2004,24.18,
Net Intake Rate in Secondary Schools,Percent,Total ,Zimbabwe,AFRZWE,2004,MoES&C_EMIS_2004,27.62,
Net Intake Rate in Secondary Schools,Percent,Female,Zimbabwe,AFRZWE,2004,MoES&C_EMIS_2004,31.06,
Net Intake Rate in Secondary Schools,Percent,Male,Zimbabwe,AFRZWE,2004,MoPSE_emis_2006,21.04,
Net Intake Rate in Secondary Schools,Percent,Total ,Zimbabwe,AFRZWE,2004,MoPSE_emis_2006,23.47,
